Empresa,sector,ventas_anuales,empleados,adopcion_tecnologica,tecnologias_utilizadas,proposito_hoy,proposito_18_anos,_latency_s
EPS Sura,Salud,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Brindar servicios de salud integrales y de alta calidad a nuestros afiliados,"Ser líderes en la prestación de servicios de salud en Colombia y Latinoamérica, con un enfoque en la innovación y la calidad",0.6832
Cenit Transporte y Logística de Hidrocarburos,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"Ser líderes en transporte y logística de hidrocarburos en Colombia, garantizando eficiencia y seguridad.","Consolidarnos como una de las empresas más importantes en el sector energético a nivel global, expandiendo nuestros servicios y tecnologías.",0.5508
Kopps Commercial,Comercio,Mediana (alta) — $10.000–50.000 M,201-500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Ofrecer soluciones innovadoras en comida rápida gourmet.,Ser líder en la industria de comida rápida gourmet en Colombia y expandirse a nivel internacional.,0.5128
EPS Sanitas,Salud,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Brindar servicios de salud de alta calidad a nuestros afiliados,Ser líderes en la prestación de servicios de salud en Colombia y Latinoamérica,0.4792
Supertiendas y Droguerías Olímpica,Comercio,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,"Ser líderes en el sector de retail en Colombia, ofreciendo una experiencia de compra integral y satisfactoria a nuestros clientes.","Consolidarnos como una de las empresas de retail más importantes de América Latina, expandiendo nuestra presencia en la región.",0.5437
Carbones del Cerrejón,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,Maximizar la producción y exportación de carbón de alta calidad.,"Consolidarnos como líderes en la industria minera global, con un enfoque en sostenibilidad y tecnología.",0.5182
Codensa,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Ofrecer servicios de movilidad sostenible y eficiente a nuestros clientes en Colombia.,"Ser líderes en la transformación de la movilidad urbana en Latinoamérica, con un enfoque en la sostenibilidad y la innovación.",0.5246
Primax Colombia,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en el mercado de combustibles y servicios relacionados en Colombia.,Ser reconocidos como una de las empresas más innovadoras y sostenibles en el sector energético en Latinoamérica.,0.5594
Bavaria,Manufactura,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Consolidarnos como líderes en el mercado de bebidas en Colombia, ofreciendo productos de alta calidad y variedad.",Ser reconocidos como una de las empresas más sostenibles y respetuosas con el medio ambiente en la industria de bebidas en América Latina.,0.6796
Colombia Telecomunicaciones (Movistar),Tecnología,Grande — > $50.000 M,>500,"Avanzado - Uso intensivo de tecnologías emergentes, IA, IoT, etc.",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Internet de las cosas (IoT); Computación en la nube; Ciberseguridad,Ofrecer servicios de telecomunicaciones innovadores y de alta calidad a nuestros clientes en Colombia.,"Ser líder en el mercado de telecomunicaciones en Colombia, expandiendo nuestra cobertura y oferta de servicios.",0.5858
Jerónimo Martins Colombia (Tiendas Ara),Comercio,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ofrecer una experiencia de compra excepcional a nuestros clientes a través de nuestros canales físicos y digitales.,"Consolidarnos como líderes en el mercado de retail en Colombia, expandiendo nuestra presencia y servicios.",0.577
Sodimac Colombia,Comercio,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Sodimac Colombia busca liderar el mercado de materiales de construcción y mejoramiento del hogar, ofreciendo productos y servicios de alta calidad.","En 18 años, Sodimac Colombia aspira a ser reconocida como una empresa líder en sostenibilidad y innovación en el sector de la construcción y el mejoramiento del hogar en Colombia.",0.6409
Salud Total EPS,Salud,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Brindar servicios de salud integrales y de alta calidad a nuestros afiliados.,"Ser líderes en la prestación de servicios de salud en Colombia, reconocidos por nuestra innovación y atención personalizada.",0.5093
Emgesa,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Internet de las cosas (IoT); Computación en la nube; Ciberseguridad,Generar energía sostenible y eficiente para Colombia y Latinoamérica.,Ser líder en la transición energética de Latinoamérica con un portafolio diversificado de energías renovables.,0.5666
Oleoducto Central (Ocensa),Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,Transportar hidrocarburos de manera segura y eficiente.,Consolidarnos como líderes en transporte de hidrocarburos en Latinoamérica.,0.4842
Avianca,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Ser líder en la industria aérea en América Latina, ofreciendo experiencias de viaje seguras y satisfactorias.","Consolidarnos como una de las aerolíneas más importantes y sostenibles del mundo, expandiendo nuestra red de rutas y mejorando continuamente nuestros servicios.",0.5759
Compensar,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,En Compensar buscamos mejorar la calidad de vida de nuestros usuarios mediante servicios integrales de salud y bienestar.,"En 18 años, Compensar será líder en servicios de salud y bienestar en Colombia, reconocida por su innovación y enfoque en el usuario.",0.5911
Cencosud Colombia,Comercio,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Ser líderes en el retail en Colombia, ofreciendo una experiencia de compra innovadora y personalizada a nuestros clientes.","Consolidarnos como un grupo de retail líder en Latinoamérica, expandiendo nuestra presencia en la región y continuando con nuestra estrategia de innovación y digitalización.",0.5924
C.I. Trafigura Petroleum Colombia,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"Consolidarnos como líderes en el mercado de energía y minería en Colombia, mejorando la eficiencia y reduciendo costos.","Ser una de las empresas más innovadoras y sostenibles en el sector energético a nivel global, expandiendo nuestra presencia en Latinoamérica.",0.5459
Esenttia,Agroindustria,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en la producción y comercialización de productos agrícolas de alta calidad en Colombia y expandarnos a nuevos mercados.,"Ser una de las empresas agroindustriales más importantes de América Latina, reconocida por su innovación, sostenibilidad y aporte a la seguridad alimentaria.",0.5954
Grupo Aval Acciones y Valores,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Ser líderes en servicios financieros en Colombia, ofreciendo soluciones innovadoras y de alta calidad a nuestros clientes.","Consolidarnos como un grupo financiero líder en Latinoamérica, reconocido por nuestra excelencia en servicios y nuestra contribución al desarrollo económico y social de la región.",2.5946
Samsung Electronics Colombia,Tecnología,Grande — > $50.000 M,>500,"Avanzado - Uso intensivo de tecnologías emergentes, IA, IoT, etc.",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Internet de las cosas (IoT); Computación en la nube; Ciberseguridad,"Consolidarnos como líderes en el mercado de tecnología en Colombia, ofreciendo soluciones innovadoras a nuestros clientes.","Ser reconocidos como uno de los principales centros de tecnología y innovación en América Latina, expandiendo nuestra presencia en la región.",2.6387
Famisanar EPS,Salud,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Brindar servicios de salud de alta calidad a nuestros afiliados,Ser líderes en la prestación de servicios de salud en Colombia y Latinoamérica,2.5384
Celsia,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Internet de las cosas (IoT); Computación en la nube; Ciberseguridad,"Liderar la transición energética en Colombia y Latinoamérica, ofreciendo soluciones innovadoras y sostenibles en el sector energético.","Ser un referente global en la generación de energía limpia y sostenible, con operaciones en varios países de América Latina y el Caribe.",2.6175
Isagen,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,Generar energía limpia y sostenible para Colombia.,Ser líder en la transición energética de Colombia y Latinoamérica.,2.6674
Chevron Petroleum Company Colombia,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Internet de las cosas (IoT); Computación en la nube; Ciberseguridad,Operar de manera segura y eficiente en la exploración y producción de hidrocarburos en Colombia.,"Consolidarnos como líderes en el sector energético en Colombia, impulsando la innovación y la sostenibilidad.",2.5995
Coosalud EPS,Salud,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Brindar servicios de salud de alta calidad a nuestros afiliados,Ser líderes en la prestación de servicios de salud en Colombia y Latinoamérica,2.5288
Droguerías y Farmacias Cruz Verde,Salud,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Brindar servicios de salud y bienestar a la comunidad colombiana a través de nuestra cadena de droguerías y farmacias.,"Ser líder en la prestación de servicios de salud en Colombia, expandiendo nuestra cobertura y oferta de productos y servicios de alta calidad.",2.6255
Grupo Energía de Bogotá (GEB),Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Internet de las cosas (IoT); Computación en la nube; Ciberseguridad,"Consolidarnos como líderes en el mercado energético, promoviendo la eficiencia y la sostenibilidad.","Ser un referente global en soluciones energéticas innovadoras y sostenibles, expandiendo nuestra presencia en Latinoamérica.",2.6036
Frontera Energy Colombia,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Internet de las cosas (IoT); Computación en la nube; Ciberseguridad,"Nuestro propósito hoy es liderar la transición energética en Colombia, proporcionando soluciones innovadoras y sostenibles para satisfacer las necesidades de energía de nuestros clientes.","En 18 años, nuestro objetivo es ser una de las empresas líderes en energía renovable en Colombia, con un portafolio diversificado de proyectos que contribuyan a la reducción de emisiones de carbono y al desarrollo sostenible del país.",2.7172
Industria Nacional de Gaseosas (Postobón),Manufactura,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Consolidarnos como líderes en la industria de bebidas en Colombia, innovando en nuestros productos y procesos.","Ser una empresa de bebidas líder en Latinoamérica, reconocida por su innovación, sostenibilidad y calidad.",2.6014
Vanti,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,En Vanti nos enfocamos en el desarrollo y comercialización de soluciones de gas natural para satisfacer las necesidades energéticas de nuestros clientes.,"Ser líderes en la transición energética en Colombia y LATAM, expandiendo nuestra oferta de soluciones de energía limpia y sostenible.",2.6199
Audifarma,Salud,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"En Audifarma buscamos brindar soluciones innovadoras en el sector farmacéutico, mejorando la salud y calidad de vida de los colombianos.",Ser líderes en la distribución y servicios farmacéuticos en Colombia y expandir nuestra presencia en Latinoamérica.,3.0236
Mexichem Resinas Colombia (Orbia),Manufactura,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Consolidarnos como líderes en la producción y comercialización de resinas en Colombia, maximizando la eficiencia operativa y la innovación.",Ser reconocidos como una de las empresas más sostenibles y tecnológicas en el sector de manufactura de resinas en América Latina.,2.6207
Mutual Ser EPS,Salud,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Brindar servicios de salud de alta calidad a nuestros afiliados,Ser líderes en la prestación de servicios de salud en Colombia y Latinoamérica,2.5324
Verano Energy,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Internet de las cosas (IoT); Computación en la nube; Ciberseguridad,Liderar el mercado energético en Colombia mediante la innovación y la sostenibilidad.,"Ser una de las principales empresas de energía renovable en Latinoamérica, reconocida por su eficiencia y compromiso ambiental.",2.6275
Tigo-UNE,Tecnología,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Internet de las cosas (IoT); Computación en la nube; Ciberseguridad,Ofrecer servicios de telecomunicaciones innovadores y de alta calidad a nuestros clientes en Colombia.,"Ser líderes en la industria de las telecomunicaciones en Colombia, expandiendo nuestra cobertura y oferta de servicios.",2.5972
Interconexión Eléctrica (ISA),Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"Interconexión Eléctrica S.A. (ISA) es una empresa líder en el sector energético, dedicada a la transmisión de energía eléctrica y a la gestión de proyectos de infraestructura energética.","En 18 años, ISA busca consolidarse como una empresa de soluciones energéticas integrales, líder en América Latina y referente a nivel global en la transición energética.",2.6386
Contegral,Agroindustria,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en la producción y comercialización de productos agrícolas de alta calidad en Colombia y expandirmos nuestra presencia en mercados internacionales.,"Ser una de las empresas agroindustriales más sostenibles y respetuosas con el medio ambiente a nivel global, con un portafolio diversificado de productos y una fuerte presencia en mercados internacionales.",2.6371
Biomax,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ser líderes en la producción y comercialización de biocombustibles en Colombia y expandirme a otros mercados.,Consolidarme como una de las empresas más importantes en el sector energético de América Latina.,2.5847
Colsanitas,Salud,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Brindar servicios de salud de alta calidad y eficiencia a nuestros pacientes.,"Ser líderes en la prestación de servicios de salud en Colombia y Latinoamérica, impulsando la innovación y la tecnología.",2.5731
Italcol,Agroindustria,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en la producción y comercialización de productos lácteos y derivados en Colombia y expandir nuestra presencia en mercados internacionales.,"Ser reconocidos como una de las empresas más innovadoras y sostenibles en el sector agroindustrial a nivel global, con un portafolio diversificado de productos y una fuerte presencia en mercados internacionales.",2.9123
Grupo Nutresa,Agroindustria,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ser líderes en la producción y comercialización de alimentos procesados en Colombia y expandernos a nivel global.,"Consolidarnos como una de las empresas alimentarias más importantes de América Latina, con un portafolio diversificado de productos y una fuerte presencia en mercados internacionales.",2.6692
Grupo Sura,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"En Grupo Sura buscamos mejorar la calidad de vida de las personas, brindando servicios integrales de salud, pensiones y seguros. Nuestro objetivo es ser líderes en el sector servicios en Colombia y Latinoamérica.","En 18 años, Grupo Sura será un referente global en servicios integrales, reconocido por su innovación, sostenibilidad y aporte positivo a la sociedad, expandiendo su presencia en nuevos mercados de América Latina y el mundo.",2.6831
Grupo Argos,Construcción,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Consolidarnos como líderes en el sector de la construcción en Colombia y Latinoamérica, mediante la innovación y la sostenibilidad.","Ser reconocidos como una de las empresas más importantes y sostenibles en el mundo, expandiendo nuestra presencia global en el sector de la construcción.",2.6183
Cementos Argos,Construcción,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en la industria de la construcción en Colombia y expandir nuestra presencia en mercados internacionales.,Ser reconocidos como una de las empresas más innovadoras y sostenibles en el sector de la construcción a nivel global.,2.5692
Banco de Bogotá,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ofrecer servicios financieros innovadores y seguros a nuestros clientes.,"Ser líderes en la banca digital en Colombia, con una experiencia de cliente excepcional.",2.5582
Banco de Occidente,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,Ofrecer servicios financieros innovadores y seguros a nuestros clientes.,"Ser líderes en la banca digital en Colombia, con una experiencia de cliente excepcional.",2.5508
Banco Popular,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,Ofrecer servicios financieros innovadores y seguros a nuestros clientes.,"Ser líderes en la banca digital en Colombia, con una experiencia de cliente excepcional.",2.5388
Banco AV Villas,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ofrecer servicios financieros innovadores y seguros a nuestros clientes.,"Ser líderes en la banca digital en Colombia, con una experiencia de cliente excepcional.",2.5448
Porvenir,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"En Porvenir, nuestro propósito es brindar soluciones innovadoras y servicios de alta calidad que ayuden a nuestros clientes a alcanzar sus objetivos financieros y de bienestar.","En 18 años, nuestro objetivo es consolidarnos como líderes en el sector de servicios financieros y de bienestar en Colombia y expandernos a nivel regional.",2.5997
Corficolombiana,Construcción,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,"Ser líder en el sector de la construcción en Colombia, ofreciendo soluciones innovadoras y sostenibles.","Consolidarnos como una de las empresas más importantes de la región, expandiendo nuestra presencia en mercados internacionales.",2.5578
Banco Davivienda,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Ser líder en servicios financieros en Colombia, ofreciendo soluciones innovadoras a nuestros clientes.","Consolidarnos como uno de los bancos más importantes de América Latina, expandiendo nuestra presencia en la región.",2.5567
Bancolombia,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Ser líderes en servicios financieros en Colombia, ofreciendo soluciones innovadoras a nuestros clientes.","Consolidarnos como un grupo financiero líder en Latinoamérica, expandiendo nuestra presencia y oferta de servicios.",2.5665
BBVA Colombia,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"Ser el banco líder en Colombia, ofreciendo servicios financieros innovadores y seguros.","Consolidarnos como un banco de referencia en Latinoamérica, expandiendo nuestra oferta de servicios y productos.",2.595
Scotiabank Colpatria,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"Ser el banco líder en Colombia, ofreciendo soluciones financieras innovadoras y un servicio al cliente excepcional.","Consolidarnos como un banco de referencia en Latinoamérica, expandiendo nuestra presencia y oferta de servicios en la región.",2.588
Banco Itaú Colombia,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"Ser el banco líder en Colombia, ofreciendo soluciones financieras innovadoras y un servicio al cliente excepcional.","Consolidarnos como un banco de referencia en Latinoamérica, expandiendo nuestra presencia y oferta de servicios en la región.",2.7296
Banco Agrario de Colombia,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Ofrecer servicios financieros innovadores y accesibles a nuestros clientes, impulsando el desarrollo económico y social de Colombia.","Ser líder en la banca colombiana, reconocido por nuestra excelencia en servicio, innovación y responsabilidad social.",3.5825
Banco GNB Sudameris,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,Ofrecer servicios financieros innovadores y seguros a nuestros clientes.,Ser líderes en la región en servicios financieros digitales.,2.6155
